0.47242,6.3595,-0.41193,-1.787,1.1911,1.4818,-0.63821,-0.9011,-0.54154,-1.3852,0.27394,-0.97707,0.093405,0
-0.07849,5.2092,0.81862,-1.0419,0.84089,1.3963,-0.82392,-1.1523,0.0067344,-0.571,0.33845,-0.6041,0.10781,0
0.18242,5.6027,0.94136,-1.067,0.86879,1.2754,-0.88324,-0.86952,0.15138,-0.081316,0.52979,0.20843,0.2772,0
0.17962,5.6836,1.2727,-0.89167,0.60965,1.2505,-0.9659,-0.98959,0.29644,0.069928,0.60616,0.29544,0.18453,0
0.064131,5.1911,1.432,-0.83111,0.66683,1.1837,-0.89128,-0.95234,0.23622,0.15794,0.55526,0.27837,0.20421,0
-0.046686,4.8564,1.4246,-0.88519,0.84222,1.1809,-0.88723,-0.87359,0.12403,-0.003299,0.4386,0.13404,0.17887,0
-0.63452,3.0696,-0.19596,2.5421,1.0352,0.68114,-0.66773,-0.29379,-0.018385,-0.060516,0.08821,-0.42224,0.31542,0
-0.50629,3.5735,0.017752,2.6272,1.1199,0.59146,-0.76876,0.0079869,0.097928,0.14429,0.18378,-0.0044457,-0.0018076,0
-0.50454,3.2202,0.13527,2.6483,1.0043,0.40113,-0.83831,-0.18137,0.081528,0.20854,0.23413,0.16742,0.051231,0
-0.55026,3.1411,0.30407,2.7225,1.026,0.31313,-0.85786,-0.15454,0.079014,0.24084,0.20868,0.27124,-0.075303,0
-0.62346,3.2348,0.35451,2.7323,1.0931,0.33015,-0.87873,-0.15776,0.019863,0.21765,0.1695,0.24882,-0.018689,0
-0.64891,3.3112,0.29835,2.7481,1.1353,0.37524,-0.86128,-0.12837,-0.010762,0.16926,0.15517,0.20941,-0.013613,0
-0.88502,3.8003,0.056884,2.331,1.2389,0.83611,-0.62665,-0.17834,0.31499,0.11419,0.17185,-0.39955,0.42339,0
-0.83738,3.6764,0.14984,2.251,1.2458,0.55588,-0.67939,-0.16088,0.23351,0.14532,0.15517,-0.067314,0.28978,0
-1.0242,3.8515,0.73446,2.4328,1.4115,0.47347,-0.75406,-0.063236,0.29568,0.19255,0.10894,0.11779,0.07762,0
-0.99186,3.7087,0.6865,2.3744,1.3631,0.39719,-0.75919,-0.1039,0.24902,0.19338,0.097814,0.15186,0.080706,0
-1.0261,3.7503,0.82109,2.4341,1.434,0.37281,-0.75495,-0.035594,0.26388,0.1968,0.074558,0.24495,-0.059064,0
